GeneName,PMID 
AR,"[31601252, 32014946, 30938103, 30587399, 31015126, 28507206, 28714370, 31469811, 31401315, 29460035, 30429415, 29426250, 31564835, 30481147, 31042283, 28795387, 30049203, 31194613, 30628200, 30177585, 29579334, 31290849, 30835006, 31446212, 30878600, 31486229, 31097093, 28499641, 30952716, 31425965, 32234920, 31599340, 28472537, 31323446, 30189719, 31571631, 32248302, 31282941, 31164317, 30885342, 31350622, 31651282, 31097085, 31290993, 30591549, 30878128, 30987609, 31124335, 30486741, 30898568, 30885328, 29948239, 31823748, 31097094, 29989448, 31489465, 30089597, 31985315, 31235357, 29687154, 30322398, 30952742, 29558888, 31142317, 29731164, 30128865, 31545260, 27913776, 31207932, 31778288, 29483918, 30864018, 30913927, 31526368, 31627700, 31387256, 30315932, 31746315, 29953591, 30218747, 30974169, 31265163, 31432603, 30989732, 28378642, 31221221, 31368625, 30844110]"
PNP,[]
TERT,"[31126249, 31446212, 32047559, 30775858, 31548826, 31154543, 31012173, 32020709, 30485693, 31422225, 31683458, 30128865, 31155967, 30623409, 31874162, 31337279, 28714370]"
MED12,"[31438892, 31882501, 31228180, 29731164, 31253136, 29301544, 30089596, 30680608, 30229391, 31384932, 31290993, 31786738, 31782256, 31277011, 30149883, 30486741, 31041879, 29968154, 29459574, 30089597, 28668866, 28488012, 31290849, 30305125, 31445956, 27908619, 30442523, 31612416, 29782069, 30391190, 30775858, 30177585, 28476421, 30666800, 31631997, 29687154, 30282880, 30630993, 31606169, 31804689, 30385172, 30507005, 31194613, 31200821, 28795387, 29316288, 31599340, 29460035, 28346656, 31699471, 28958068, 30527174, 29945708, 31752884, 30791870, 31387805, 31127385, 30506406, 31713888, 32159882, 29284349, 31738590, 30357709, 31030326, 31464032, 31244320, 31042283, 29915891, 30474481, 31287555, 30756482, 31874543, 30797493, 29483918, 31425002, 30531840, 31271118, 30322398, 29426250, 27413166, 30145925, 30784913, 30556447, 31323446, 31366504, 30668397, 31832068, 31456503, 31823748, 31605736, 30485693, 31648127, 30956278, 31518571, 29337059, 30725206, 31202850, 31778288, 30242906, 30475650, 30606672, 31387256, 31874162, 31707599, 30974169, 31515670, 30259978, 30819829, 29803896, 30077122]"
ZNF217,"[31829203, 30043491, 29510676, 31097082, 31775888, 31401315, 31280139, 31648127, 31243104, 28885675, 28378642, 30668397, 30806032, 31438892, 30591549, 31068179, 30646616, 30145925, 30844110, 31770849, 30819829, 30952716, 30077122, 30606672, 30218747, 30796356, 30594196, 29558888, 31927006, 31564210, 31089757, 31874162, 31376097, 31713888, 31337279, 31738590, 31454018, 30481147, 28714370, 30952767, 30474481, 31372722, 29945702, 31721446, 31366504, 32014946, 30527192, 31015126, 30504389, 31823748, 31685299, 31368411, 31290993, 31154543, 30203720, 30628200, 30878128, 31182061, 31647948, 30556447, 29080690, 31323446, 31985315, 31245924, 31422225, 31619231, 31282941, 31037897, 31683458, 30128865, 30946796, 31001918, 31202850, 31207932, 30773851, 30902389, 31778288, 30594330, 30900377, 30604908, 31097093, 30690883, 31820862, 31387256, 29656435, 30315932, 31387805, 31425002, 30623409, 29953591, 27688262, 31520555, 30974169, 29615460, 27413166, 29452091, 29915891]"
PAX5,"[30592196, 30089596, 30773190, 30027464, 30385172, 31042283, 30413378, 31454018, 30205417, 30773184, 30938103, 29459574, 28346656, 31130741, 31028222, 30665872, 28825377, 30642452, 31699115, 29316288, 31752884, 30126063, 31254940, 31154543, 31602468, 31699471, 28958068, 32361810, 31176206, 31175902, 31285672, 31277011, 30149883, 28795387, 30105871, 32048008, 30797496, 30527174, 31455166, 31771739, 31829203, 30646616, 29195578, 30357709, 31097096, 31030326, 31368625, 30616471, 27413166, 31360113, 31126249, 31115697, 29940884, 30952767, 31571631, 30952742, 31215445, 30305125, 30442523, 29782069, 30536734, 30089597, 31828427, 30666800, 30725275, 29687154, 31351746, 31194613, 31039680, 30642457, 30783810, 31782256, 31492985, 30950297, 30821655, 31561135, 31282096, 31253136, 30229391, 32014946, 31894386, 28472537, 31097093, 30791870, 27516466, 30506406, 30623409, 31265163, 30770959, 31654622, 31464032, 31612416, 31271118, 30295143, 31290993, 30145925, 29915891, 29536740, 31177159, 31345185, 29661287, 31495334, 31878900, 31980929, 31023173, 28668866, 30935565, 29681411, 32173269, 29451696, 31056356, 31659111, 31445956, 30666802, 31449674, 30602039, 30327236, 31287557, 31123785, 32125893, 29778651, 30497431, 31602661, 30189719, 30898568, 31985315, 30885358, 30324773, 30177585, 30477470, 29579334, 31037897, 31088500, 31804689, 29510676, 30642444, 31721468, 31446212, 31182061, 30034229, 30527192, 30911841, 31874543, 29681240, 29571997, 28800837, 31200821, 29042049, 31927006, 31497994, 30797493, 28507206, 31668406, 31703637, 29426250, 30606672, 30691492, 31155967, 29363879, 30544255, 31520555, 30978569, 30941563, 32159882, 30919763, 29968154, 31331844, 29284349, 31414902, 30637589, 31886195, 29615460, 31244320, 30337185, 30774636, 31648501, 32047559, 31522607, 30594196, 28885675, 31068179, 31386568, 30594330, 31282941, 31245924, 29564776, 31606169, 29352585, 30415902, 31228180, 31097082, 31739500, 30638934, 30531840]"
FGFR4,"[32020709, 31455166, 31253136, 30527174, 30885358, 30938103, 30027464, 28346656, 30089596, 30049203, 29451696, 31097082, 30478673, 30334618, 31235357, 29316288, 31686799, 31042283, 29912578, 30952767, 31154543, 30305125, 31116035, 31290993, 32048008, 29915891, 29357969, 30506406, 31368625, 30774636, 31804689, 30486741, 30941563, 31648501, 30145925, 30591549, 30177585, 31721446, 30205417, 30911841, 30797496, 28472537, 30548240, 29943841, 30357709, 31097096, 31654622, 30295143, 31360113, 31571631, 31215445, 30797489, 30497431, 30282880, 31351746, 29754785, 31782256, 31089925, 31602468, 31200821, 28795387, 31699115, 31097093, 29945708, 30606672, 32159882, 31265163, 29195578, 31221221, 31244320, 30413378, 31147169, 31499384, 31243104, 29536740, 31126249, 31115697, 32234920, 31142317, 28668866, 32248302, 31366504, 30935565, 29352585, 30430864, 30652510, 31436122, 31245924, 31290849, 31659111, 30442523, 31005223, 31097085, 31445956, 32361810, 30609303, 28825377, 31667664, 30485693, 30642452, 30602039, 32014936, 31005209, 31124335, 29782069, 32125893, 31602661, 30592196, 30898568, 31985315, 30775858, 31066582, 30477470, 30832554, 31425965, 30885342, 30485664, 31386568, 30444051, 31631997, 29687154, 29731164, 30843662, 31194613, 29522271, 31097094, 30642457, 31721468, 30783810, 30385172, 31285672, 31182061, 30128865, 29459574, 28800837, 30946796, 30821655, 31497994, 29183778, 30797493, 31200819, 28507206, 30229391, 31739500, 31668406, 28958068, 30089591, 31703637, 29845338, 30791870, 30691492, 27516466, 30623409, 29363879, 31746315, 30544255, 28780685, 31829203, 31828882, 30919763, 31738590, 30646616, 31414902, 30637589, 30825015, 31030326, 30770959, 30259978, 31134811, 31553706, 31464032, 30616471, 31770849, 31271118, 27413166, 32047559, 31771739, 31495334, 32173269, 30089597, 29758930, 30952742, 30725275, 30630993, 29409112, 31068179, 28237243, 30835006, 30878600, 27908619, 29661287, 30089583, 30480360, 30885338, 30680608, 29778651, 31786738, 30222060, 28378642, 29803896, 30628200, 30507005, 31350622, 31619231, 31599340, 30034229, 30531840, 28714370, 31028222, 30927058, 31469811, 31552569, 30481147, 31092436, 31486229, 31541338, 31828427, 30909672, 30429415, 30678379, 28592139, 31564835, 30844110, 28212992, 31181537, 30665872, 30536734, 29579334, 29940884, 31446212, 28499641, 30952716, 31882501, 31489465, 29747545, 31980929, 29571997, 31472996, 31323446, 30806032, 30189719, 30756482, 31164317, 30666800, 30337050, 30527192, 30587399, 30659509, 30089584, 31651282, 29681411, 30734516, 31832068, 30203720, 30987609, 29284511, 29948239, 31823748, 30648806, 30058192, 30322398, 31345185, 30923943, 31287557, 30273983, 29558888, 30773190, 29383798, 31545260, 30240003, 31561135, 27913776, 29460035, 32014946, 30077122, 31292221, 30638934, 29550987, 30864018, 30913927, 30317549, 31752884, 31526368, 31627700, 31820862, 31387256, 32108977, 30043491, 30315932, 31387805, 29953591, 27688262, 31393163, 30978569, 31384932, 30218747, 30974169, 31432603, 30989732, 31118602, 29713040, 31368411, 30471866, 31001918, 31202850, 31352324, 30098333, 30859681, 30126075, 30871590, 32366398, 31401315, 31280139, 29989448, 31481083, 31518571, 31422225, 30254102, 31927006, 31564210, 31207932, 30549035, 31778288, 31795418, 30722989, 28623135, 31080186, 31015126, 29426250, 31282941, 30878128, 30885328, 29483918]"
IGF1R,"[32014946, 30591549, 31601252, 30592196, 31686799, 31445956, 31685299, 31438892, 31436122, 30955977, 28472537, 31879171, 31366504, 30548240, 29451696, 31182061, 31381142, 31290993, 30105871, 29080690, 31561135, 31097096, 30885351, 31721446, 30885328, 30089596, 30442523, 31703637, 29948239, 31606169, 30027464, 31752884, 28499641, 31828427, 31025831, 31200821, 31619231, 31235357, 29803896, 31492985, 31455166, 32048008, 31086949, 30282880, 30938103, 31245924, 29687154, 31804689, 29681240, 31194613, 30885338, 31980929, 30648806, 31449674, 30956278, 31287557, 30773184, 30486741, 29778651, 31277011, 30791870, 30507005, 30058192, 31384932, 30385172, 28507206, 30357709, 29571997, 28623135, 30835006, 29754785, 31030326, 30642457, 31721468, 30819829, 31368625, 31387256, 27413166, 31115697, 31042283, 30259978, 30680608, 29357969, 30273983, 29729529, 29564776, 31041879, 29681411, 31786738, 31713888, 29024471, 30987609, 29645086, 31175902, 31345185, 30527192, 31782256, 30413378, 31123785, 30145925, 31200820, 29042049, 29915891, 30325558, 31053172, 30825015, 31886195, 30295143, 31292396, 30334618, 31631997, 31176206, 31735973, 30783810, 30034229, 30478673, 31699115, 30415902, 31564210, 31237152, 31200819, 29363879, 31515670, 30796356, 30770959, 31126249, 31097082, 30430864, 30734516, 31068179, 31722726, 31027701, 30797489, 30885358, 30889876, 30952734, 30049203, 30952742, 31154543, 30911841, 31497994, 30725206, 31253136, 29460035, 28958068, 30098333, 31771739, 30691492, 29943841, 30941563, 30646616, 31654622, 30616471, 31244320, 31770849, 30337185, 30774636, 32047559, 31088500, 29940884, 31005223, 31088404, 30222060, 31350622, 29782069, 29978725, 30980423, 31425965, 31386568, 29579334, 31097094, 31285672, 30205417, 30149883, 31602468, 28795387, 30950297, 29316288, 29661287, 30229391, 28346656, 31668406, 30797496, 31089757, 30429415, 29550987, 30843065, 30317549, 29656435, 30978569, 30678379, 32159882, 31828882, 29968154, 31265163, 31414902, 30637589, 31118602, 31221221, 29713040, 30859681, 31271118, 30497431, 31037897, 30756482, 31810952, 31387622, 29747545, 30587399, 30822531, 30527174, 31243104, 30506406, 31494736, 28212992, 31056356, 29483918, 28237243, 31142317, 31489465, 28885675, 31456503, 31548826, 31015126, 31109312, 31832068, 31401315, 30652510, 31215445, 29912578, 30666802, 30935565, 32361810, 30952767, 29409112, 30126063, 30642452, 29989448, 31481083, 32125893, 31602661, 30898568, 30480360, 30775858, 31541338, 31066582, 30177585, 30444051, 31282941, 31164317, 30630993, 29758930, 31351746, 31254940, 31147169, 29558888, 30773190, 31499384, 31116035, 29459574, 28800837, 31313100, 30821655, 29301544, 29183778, 30797493, 31207932, 31894386, 31795418, 30900377, 30784913, 30475650, 31526368, 30606672, 30854794, 30315932, 30544255, 31807880, 28780685, 30218747, 31552569, 30919763, 29284349, 31738590, 29195578, 31454018, 29615460, 31134811, 28592139, 28378642, 31564835, 31464032, 30844110, 28714370, 31648501, 30609303, 31495334, 32173269, 30485664, 30089597, 30725275, 30878600, 27908619, 30089583, 30602039, 30628200, 31089925, 30485693, 31599340, 30531840, 31028222, 30927058, 31469811, 27516466, 30481147, 31092436, 31486229, 29522271, 30909672, 31746315, 31181537, 30665872, 29536740, 30536734, 31290849, 31446212, 31097093, 30089591, 30952716, 31882501, 32234920, 31472996, 31323446, 30806032, 30189719, 31571631, 30666800, 30337050, 30885342, 30659509, 30089584, 31651282, 31097085, 30203720, 31124335, 29945708, 29284511, 31823748, 32020709, 31667664, 32014936, 31985315, 30322398, 30923943, 29731164, 29383798, 31545260, 30240003, 27913776, 30077122, 31292221, 30638934, 30864018, 30913927, 31627700, 31820862, 32108977, 30043491, 31387805, 29953591, 27688262, 31393163, 30974169, 31432603, 30989732, 31368411, 30128865, 30471866, 31001918, 31202850, 31352324, 30126075, 30871590, 32366398, 31280139, 31518571, 31422225, 30254102, 31927006, 30549035, 31778288, 30722989, 31080186, 30946796, 30642444, 29426250, 32248302, 30878128]"
BCL9,"[31438892, 30666800, 30305125, 29301544, 31352324, 30898568, 30889876, 31200819, 31707599, 31648501, 30205417, 31381142, 30911841, 29459574, 30486741, 30821655, 29316288, 32048008, 28507206, 31699471, 30825015, 31221221, 31290993, 29452091, 31092436, 31027701, 31005223, 32361810, 30952767, 30189719, 30485664, 30630993, 30027464, 30773190, 31446212, 31782256, 31285672, 30478673, 28800837, 30855987, 31157548, 29357969, 31564835, 31368625, 31612416, 30385172, 30885338, 31126249, 30935565, 30591549, 30885351, 31097085, 31445956, 30773184, 30609303, 31123785, 30222060, 31449674, 30327236, 32014936, 31025831, 29782069, 30797489, 29945702, 30885358, 30775858, 30758227, 30324773, 30177585, 31425965, 29687154, 30049203, 30282880, 30952742, 31176206, 31351746, 31194613, 31097082, 31097094, 30642457, 31804689, 29510676, 28499641, 30783810, 30034229, 31200820, 30149883, 28795387, 31699115, 31599340, 30797493, 31436122, 31253136, 29460035, 30229391, 28346656, 32014946, 31894386, 28958068, 31455166, 31089757, 30784913, 30843065, 28472537, 30791870, 30691492, 30548240, 30506406, 30089596, 31080186, 31384932, 30941563, 32159882, 31828882, 31738590, 31265163, 31454018, 30357709, 30770959, 31042283, 32047559, 31709807, 30839234, 31116035, 30950297, 31497994, 31237152, 30977688, 31155967, 31041879, 31393163, 30919763, 31414902, 31118602, 29615460, 31305173, 31134811, 31770849, 31271118, 30913927, 31361530, 30774636, 29948239, 30145925, 31323446, 27908619, 31879171, 30242906, 31703637, 29656435, 30325558, 29363879, 30218747, 31280139, 31037897, 31418948, 31235357, 31215445, 30322398, 31012173, 31481083, 31368411, 29758930, 31630262, 30594196, 29080690, 30628200, 31648127, 30485693, 28488012, 29483918, 30126075, 30956278, 30556447, 31489465, 31683458, 31667664, 30592196, 28885675, 31685299, 28476421, 30725275, 31401315, 30295143, 31142317, 30668397, 31387622, 31823748, 31647948, 31495334, 30938103, 30952716, 31771739, 31345185, 31619231, 31282941, 30203720, 32020709, 30413378, 30847822, 31068179, 31775888, 29352585, 31601252, 31287557, 29536740, 29042049, 29564776, 31130741, 30105630, 31832068, 28212992, 31605736, 30527192, 29024471, 31372722, 32366398, 30415902, 30497431, 31735973, 29754785, 31290849, 30971213, 29681411, 31228180, 30955977, 31056356, 28237243, 31439255, 30474481, 31147169, 29945708, 31097093, 29729529, 28825377, 30648806, 32088783, 31287562, 31097096, 30105871, 31829203, 31627700, 31522607, 27413166, 27913776, 30902389, 29747545, 31001918, 31795418, 30859681, 30551520, 30244652, 30320506, 29409112, 30796356, 30623409, 29383798, 30531840, 31518571, 31422225, 31778288, 28714370, 30974169, 31564210, 31515670, 31654622, 30430864, 30652510, 28668866, 31445715, 30098333, 30844110, 31337279, 29426250, 30128865, 30637589, 30507005, 31810952, 30315932, 28378642, 31088404, 30756482, 31980929, 29681240, 31874162, 29953591, 30871590, 27688262, 31088500, 31472996, 30642452, 31039680, 31207932, 30832554, 30594330, 30819829, 30126063, 31101024, 31548826, 31882501, 30475650, 30477470, 31109312, 30334618, 30480360, 30822531, 31514107, 30885352, 30089584, 30806032, 31312931, 31752884, 30254102, 30549035, 30773851, 30900377, 30722989, 28623135, 29845338, 30690883, 31820862, 29943841, 30628487, 30978569, 30678379, 29284349, 29337059, 30444051, 30471108, 31313100, 30471866, 31927006, 30909672, 30077122, 30606672, 30854794, 30043491, 31520555, 30646616, 31432603, 31886195, 28592139, 29713040, 30616471, 30337185, 29661287, 31182061, 31292396, 31245924, 29522271, 30946796, 30725206, 31292221, 30429415, 30536653, 31425002, 31746315, 31807880, 29195578, 31030326, 31553706, 29915891, 31254940, 31878900, 30536734, 30642444, 30266585, 31721446, 30273983, 29571997, 31175902, 30587399, 31721468, 31494736, 30878128, 30885328, 29989448, 29978725, 31066582, 31386568, 30952734, 30274775, 31469811, 31545260, 30240003, 31202850, 31130373, 30638934, 30604908, 27516466, 31387805, 30051671, 31053172, 28780685, 31713888, 31331844, 30481147, 31360113, 31028222, 31602468, 30504389, 32014934, 32173269, 29550987, 32234920, 31561135, 31181537, 31492985, 29645086, 30058192, 31602661, 31703663, 30089597, 31276353, 30680608, 30089591, 31631997, 30843662, 29803896, 31005209, 30734516, 29940884, 31089925, 29579334, 29651598, 29731164, 30797496, 31499384, 29912578, 29451696, 31243104, 30835006, 30089583, 31606169, 30878600, 31486229, 31287555, 31350622, 29778651, 30391190, 31541338, 31164317, 30927058, 31786738, 31177159, 31277011, 29284511, 31282096, 30923943, 31200821, 31023173, 31366504, 30665872, 32125893, 30527174, 31686799, 30659509, 31571631, 32248302, 30980423, 31659111, 31828427, 31285684, 30666802, 31456503, 30337050, 30885342, 31015126, 31115697, 30602039, 31651282, 31722726, 30987609, 31124335, 31154543, 30442523, 29558888, 31086949, 31985315, 29266226, 30551551, 31874543, 29183778, 31668406, 30864018, 30317549, 31526368, 31387256, 32108977, 31127385, 30544255, 31376097, 29968154, 30989732, 30259978, 31464032, 31244320]"
CD44,"[30666800, 30770959, 31142317, 32248302, 31832068, 30325558, 31384932, 29758930, 30295143, 31489465, 31068179, 31097093, 32048008, 31154543, 32047559, 31515670, 31331844, 31042283, 29409112, 30504389, 30898568, 31366504, 30587399, 31810952, 31495334, 28237243, 30189719, 31097082, 31721468, 31605736, 29945708, 29729529, 31739500, 31089757, 29357969, 30536653, 31520555, 31376097, 29968154, 30774636, 29452091, 29459574, 29681411, 29042049, 31455166, 30878600, 29782069, 28795387, 29645086, 30783810, 30952767, 29731164, 28825377, 31130741, 30089584, 29564776, 30324773, 29803896, 31703637, 30955977, 31599340, 31425965, 30266585, 31699115, 29483918, 31631997, 31092436, 31494736, 31088500, 31648501, 28780685, 31709807, 28476421, 31606169, 30337185, 29301544, 31499384, 30885358, 30659509, 31980929, 30885328, 29661287, 30797496, 31771739, 31820862, 28592139, 31553706, 29948239, 31721446, 31786738, 30034229, 29080690, 30317549, 31752884, 30506406, 31265163, 30825015, 30616471, 32014936, 30628200, 31126249, 31667664, 30592196, 31285684, 32125893, 31602661, 31541338, 30477470, 29510676, 30773190, 30507005, 30527192, 28800837, 30415902, 31699471, 30527174, 30429415, 32108977, 31707599, 29284349, 31097096, 31770849, 30481147, 30089596, 30391190, 30666802, 27908619, 28472537, 29747545, 30105630, 30665872, 29536740, 28885675, 30980423, 31115697, 31276353, 31486229, 29451696, 31312931, 30952742, 29651598, 30822531, 29912578, 29284511, 31181537, 30602039, 30927058, 31228180, 31828427, 30923943, 30885352, 31492985, 31277011, 31089925, 31874543, 30855987, 30413378, 31436122, 29460035, 30843065, 30791870, 29943841, 30051671, 31552569, 31828882, 31118602, 29615460, 31030326, 31244320, 31775888, 31372722, 30952716, 31683458, 31401315, 30878128, 29989448, 31282941, 30551551, 31545260, 31879171, 31564210, 30098333, 30606672, 30315932, 30637589, 30859681, 30145925, 30229391, 31175902, 30773184, 28668866, 29687154, 31804689, 31235357, 30950297, 31066582, 31287557, 30089591, 30941563, 31564835, 30652510, 30327236, 30497431, 31243104, 31659111, 31290849, 30935565, 30126063, 30630993, 31116035, 27913776, 30773851, 31432603, 31221221, 31612416, 31360113]"
DCUN1D1,"[32014946, 30591549, 31601252, 30592196, 31686799, 31445956, 31685299, 31438892, 31436122, 30955977, 28472537, 31879171, 31366504, 30548240, 29451696, 31182061, 31381142, 31290993, 30105871, 29080690, 31561135, 31097096, 30885351, 31721446, 30885328, 30089596, 30442523, 31703637, 29948239, 31606169, 30027464, 31752884, 28499641, 31828427, 31025831, 31200821, 31619231, 31235357, 29803896, 31492985, 31455166, 32048008, 31086949, 30282880, 30938103, 31245924, 29687154, 31804689, 29681240, 31194613, 30885338, 31980929, 30648806, 31449674, 30956278, 31287557, 30773184, 30486741, 29778651, 31277011, 30791870, 30507005, 30058192, 31384932, 30385172, 28507206, 30357709, 29571997, 28623135, 30835006, 29754785, 31030326, 30642457, 31721468, 30819829, 31368625, 31387256, 27413166, 31115697, 31042283, 30259978, 30680608, 29357969, 30273983, 29729529, 29564776, 31041879, 29681411, 31786738, 31713888, 29024471, 30987609, 29645086, 31175902, 31345185, 30527192, 31782256, 30413378, 31123785, 30145925, 31200820, 29042049, 29915891, 30325558, 31053172, 30825015, 31886195, 30295143, 31292396, 30334618, 31631997, 31176206, 31735973, 30783810, 30034229, 30478673, 31699115, 30415902, 31564210, 31237152, 31200819, 29363879, 31515670, 30796356, 30770959, 31126249, 31097082, 30430864, 30734516, 31068179, 31722726, 31027701, 30797489, 30885358, 30889876, 30952734, 30049203, 30952742, 31154543, 30911841, 31497994, 30725206, 31253136, 29460035, 28958068, 30098333, 31771739, 30691492, 29943841, 30941563, 30646616, 31654622, 30616471, 31244320, 31770849, 30337185, 30774636, 32047559, 31088500, 29940884, 31005223, 31088404, 30222060, 31350622, 29782069, 29978725, 30980423, 31425965, 31386568, 29579334, 31097094, 31285672, 30205417, 30149883, 31602468, 28795387, 30950297, 29316288, 29661287, 30229391, 28346656, 31668406, 30797496, 31089757, 30429415, 29550987, 30843065, 30317549, 29656435, 30978569, 30678379, 32159882, 31828882, 29968154, 31265163, 31414902, 30637589, 31118602, 31221221, 29713040, 30859681, 31271118, 30497431, 31037897, 30756482, 31810952, 31387622, 29747545, 30587399, 30822531, 30527174, 31243104, 30506406, 31494736, 28212992, 31056356, 29483918, 28237243, 31142317, 31489465, 28885675, 31456503, 31548826, 31015126, 31109312, 31832068, 31401315, 30652510, 31215445, 29912578, 30666802, 30935565, 32361810, 30952767, 29409112, 30126063, 30642452, 29989448, 31481083, 32125893, 31602661, 30898568, 30480360, 30775858, 31541338, 31066582, 30177585, 30444051, 31282941, 31164317, 30630993, 29758930, 31351746, 31254940, 31147169, 29558888, 30773190, 31499384, 31116035, 29459574, 28800837, 31313100, 30821655, 29301544, 29183778, 30797493, 31207932, 31894386, 31795418, 30900377, 30784913, 30475650, 31526368, 30606672, 30854794, 30315932, 30544255, 31807880, 28780685, 30218747, 31552569, 30919763, 29284349, 31738590, 29195578, 31454018, 29615460, 31134811, 28592139, 28378642, 31564835, 31464032, 30844110, 28714370, 31648501, 30077122, 30324773, 30322398, 28476421, 30128865, 30242906, 29845338, 30043491, 30974169, 29452091, 31627700, 32020709, 29651598, 30471108, 30327236, 31709807, 29953591, 31927006]"
GATA2,"[29451696, 31445956, 31438892, 28472537, 30773184, 31882501, 30938103, 32014946, 31804689, 32125893, 28507206, 31042283, 29510676, 30506406, 30791870, 31829203, 31782256, 30648806, 31722726, 29681411, 30486741, 29645086, 31245924, 29483918, 28346656, 31235357, 31194613, 31200819, 30295143, 31602661, 30616471, 29409112, 30218747, 29042049, 29536740, 32048008, 31735973, 31254940, 31109312, 30548240, 30507005, 31492985, 30089591, 31005223, 31414902, 31097096, 31164317, 31721468, 31499384, 31277011, 30205417, 29571997, 31253136, 31522607, 29945708, 31752884, 31384932, 30678379, 31221221, 30952742, 29782069, 29778651, 30592196, 29754785, 31175902, 30478673, 31668406, 29550987, 30536653, 30089596, 30531840, 30544255, 32159882, 31265163, 31886195, 31654622, 31368625, 27413166, 31290993, 29915891, 30847822, 31126249, 31878900, 31810952, 30652510, 31215445, 30305125, 31088404, 30222060, 31350622, 30497431, 30885358, 30324773, 30477470, 30725275, 30049203, 31721446, 31351746, 31147169, 30089584, 30642457, 30783810, 31154543, 30034229, 30149883, 31200821, 30821655, 31157548, 29661287, 30413378, 30773851, 31894386, 28958068, 30797496, 30955977, 29357969, 30691492, 29656435, 30623409, 31053172, 30941563, 31432603, 30825015, 31464032, 31770849, 32047559, 30628200, 30587399, 30822531, 31243104, 31446212, 30797489, 31366504, 31025831, 30666800, 30189719, 30322398, 31832068, 30430864, 31627700, 31786738, 31028222, 28237243, 30878128, 30885351, 31097085, 31601252, 30935565, 32361810, 30952767, 30609303, 31200820, 30442523, 31439255, 30642452, 30327236, 31486229, 31481083, 31124335, 31123785, 31980929, 29945702, 30980423, 30898568, 31985315, 30480360, 31828427, 31345185, 31425965, 30952734, 30273983, 30444051, 31631997, 29564776, 30282880, 30630993, 29266226, 31606169, 31097094, 29558888, 30027464, 28499641, 28212992, 29383798, 31182061, 31381142, 30527192, 30911841, 31602468, 29459574, 31313100, 31879171, 28795387, 30946796, 31699115, 29316288, 29301544, 30415902, 29183778, 30835006, 30229391, 31699471, 30527174, 30429415, 31795418, 30900377, 30843065, 31097093, 29426250, 31820862, 32108977, 27516466, 29943841, 29363879, 31874162, 31807880, 28780685, 31393163, 31828882, 31738590, 30637589, 31118602, 31030326, 31553706, 31564835, 30859681, 31271118, 30774636, 31648501, 30145925, 28378642, 31647948, 30474481, 31323446, 31386568, 31648127, 30594196, 30274775, 31015126, 30240003, 31202850, 31425002, 31080186, 31713888, 31097082, 31775888, 31401315, 31280139, 28885675, 30668397, 30806032, 30591549, 31068179, 30646616, 30844110, 30819829, 30952716, 30077122, 30606672, 30796356, 31927006, 31564210, 31089757, 31376097, 31337279, 31454018, 30481147, 28714370, 31372722, 30504389, 31823748, 31685299, 31368411, 30203720, 30556447, 29080690, 31422225, 31619231, 31282941, 31037897, 31683458, 30128865, 31001918, 31207932, 30902389, 31778288, 30594330, 30604908, 30690883, 31387256, 30043491, 30315932, 31387805, 29953591, 27688262, 31520555, 30974169, 29615460, 29452091]"
