GeneName,PMID
CBR3,"[30919763, 30952742, 31786738, 30478673, 31097096, 31177159, 30628200, 31039680, 32048008, 30898568, 30592196, 30327236, 31350622, 30665872, 30680608, 31494736, 30324773, 31176206, 29558888, 28499641, 31499384, 31235357, 31285672, 30507005, 30205417, 30911841, 31116035, 29042049, 28795387, 29316288, 31561135, 31253136, 29460035, 31699471, 31752884, 30606672, 31387805, 30941563, 31552569, 29968154, 31738590, 31454018, 31654622, 30616471, 31042283, 31886195, 30591549, 29409112, 31277011, 31709807, 31879171, 31564210, 30475650, 29953591, 30218747]"
CD19,[30774636]
CDC27,[]
CDK7,[]
CDK9,"[31438892, 31541338, 30923943, 30477470, 31481083, 31601252, 31446212, 30475650, 30327236, 31703663, 30089584, 31254940, 31027701, 28507206, 29948239, 29558888, 31709807, 29943841, 30989732, 31886195, 31648127, 30952767, 27908619, 29940884, 30504389, 31401315, 31280139, 32020709, 30485693, 31985315, 30889876, 31015126, 31775888, 30242906, 30784913, 31627700, 31520555, 31376097, 31368625]"
CIC,[]
CRLF2,[]
CRX,[30987609]
CXCR4,"[29945702, 31445956, 29451696, 30592196, 29284511, 28346656, 31235357, 30478673, 30486741, 28472537, 29301544, 32048008, 31752884, 30955977, 31005209, 30497431, 31176206, 30027464, 29316288, 31381142, 30327236, 31366504, 30385172, 28378642, 30145925, 30666800, 31648501, 31786738, 30927058, 31492985, 29510676, 31277011, 29042049, 29915891, 31116035, 31368625, 31194613, 31699115, 30825015, 32125893, 30189719, 30938103, 31147169, 31175902, 30773190, 30821655, 32014946, 32159882, 29968154, 29452091, 30413378, 30885351, 30773184, 29778651, 30324773, 30725275, 31164317, 31804689, 31499384, 28212992, 31089925, 31602468, 28795387, 28507206, 31668406, 29357969, 30548240, 31829203, 31515670, 30770959, 31654622, 31042283, 31271118, 31290993, 31243104, 30652510, 31215445, 31245924, 30305125, 30222060, 31449674, 30665872, 31124335, 29782069, 30775858, 30952734, 29579334, 30049203, 30282880, 31285672, 30034229, 30205417, 30527192, 30911841, 30149883, 30855987, 29661287, 31282096, 30797493, 29460035, 31200819, 30773851, 31894386, 31455166, 30089591, 31097093, 30475650, 30606672, 30506406, 30089596, 31874162, 28780685, 30941563, 31414902, 29195578, 29615460, 30357709, 31097096, 31030326, 31244320, 32047559, 29536740, 30594196, 31015126, 30587399, 31878900, 29483918, 31126249, 31023173, 30797489, 28668866, 29940884, 29754785, 31109312, 31097082, 29681411, 30430864, 31097085, 31056356, 28488012, 30591549, 30822531, 30923943, 31005223, 31456503, 30666802, 28825377, 31667664, 31181537, 31130741, 30642452, 30956278, 30680608, 31602661, 30334618, 30898568, 30885358, 31828427, 29729529, 30177585, 30477470, 30832554, 31425965, 30885342, 31631997, 29687154, 29564776, 31721446, 31351746, 31606169, 30089584, 30885328, 31721468, 28499641, 29731164, 31446212, 31782256, 30839234, 31154543, 29459574, 29571997, 31879171, 30950297, 31157548, 31497994, 30415902, 29183778, 30229391, 28958068, 30527174, 30594330, 31795418, 29550987, 30784913, 30098333, 30843065, 29945708, 30791870, 30691492, 31155967, 30623409, 31041879, 31080186, 30628487, 30978569, 30678379, 30218747, 31331844, 31432603, 31134811, 31221221, 30616471, 31770849, 27413166, 30774636]"
DDIT3,"[30497431, 30305125, 31177159, 28714370, 29579334, 30391190, 30797489, 31109312, 31829203, 31432603, 29915891, 30821655, 30105871, 31253136, 30927058, 30666800, 31097082, 31182061, 30149883, 29483918, 31828882, 30825015, 31464032, 30385172, 31243104, 31115697, 30956278, 29940884, 30337050, 28472537, 30652510, 30591549, 31097085, 30609303, 31287562, 31123785, 31449674, 30126063, 30327236, 31292396, 29778651, 30980423, 30189719, 30898568, 30477470, 29687154, 30282880, 31176206, 30642457, 31175902, 31721468, 31285672, 30911841, 29571997, 30486741, 29042049, 28795387, 30855987, 31157548, 31497994, 30797493, 32048008, 28346656, 28958068, 30429415, 29550987, 31097093, 31752884, 31627700, 30691492, 30536653, 31454018, 31886195, 31097096, 31030326, 30796356, 30770959, 30259978, 31042283, 31648501, 31360113, 32047559]"
